Constituency No,Constituency Name,Party,Candidate
38,Kakinada Rural,Navarang Congress Party,Melam Veeraswamy
38,Kakinada Rural,Independent,Annavaram Pithani
38,Kakinada Rural,Independent,Anyam Visweswara Rao
38,Kakinada Rural,Independent,Karri Gopalakrishna
38,Kakinada Rural,Independent,Chaganti Suryanarayana Murthy
38,Kakinada Rural,Independent,Madipalli Raju
38,Kakinada Rural,Independent,Velugutnala Veerabhadrarao
38,Kakinada Rural,None of the Above,NOTA
39,Peddapuram,Bahujan Samaj Party,Arun Kumar Peyyala
39,Peddapuram,Telugu Desam,China Rajappa Nimmakayala
39,Peddapuram,Indian National Congress,Thummala Dorababu
39,Peddapuram,Yuvajana Sramika Rythu Congress Party,Davuluri Dorababu
39,Peddapuram,India Praja Bandhu Party,Kesavarapu Rama Mohan Rao
39,Peddapuram,Jaibhim Rao Bharat Party,Bunga Satyanarayana
39,Peddapuram,Independent,Gangavarapu Lavanya
39,Peddapuram,Independent,Duvvada Kannyaya@Kannanbabu
39,Peddapuram,Independent,Motupalli Siva Kumar
39,Peddapuram,Independent,Rayudu Mujesh Babu
39,Peddapuram,None of the Above,NOTA
40,Anaparthy,Indian National Congress,Yella Srinivasa Rao
40,Anaparthy,Bahujan Samaj Party,Kollam Srinu
40,Anaparthy,Bharatiya Janata Party,Ramakrishna Reddy Nallamilli
40,Anaparthy,Yuvajana Sramika Rythu Congress Party,Doctor Sathi Suryanarayana Reddy
40,Anaparthy,Akhil Bharatiya Jan Sangh,Kovvuri Sivananda Reddy
40,Anaparthy,Jaibhim Rao Bharat Party,Gangadhar Lingam
40,Anaparthy,Liberation Congress Party,Shek Sardhar Hussen
40,Anaparthy,Independent,Chelle Srinu
40,Anaparthy,Independent,Pulagam Surreddy
40,Anaparthy,None of the Above,NOTA
41,Kakinada City,Bahujan Samaj Party,Kambham Raju Babu
41,Kakinada City,Indian National Congress,Chekka Nookaraju
41,Kakinada City,Yuvajana Sramika Rythu Congress Party,Dwarampudi Chandrasekhara Reddy
41,Kakinada City,Telugu Desam,Vanamadi Venkateswara Rao @ Kondababu
41,Kakinada City,Telugu Nava Garjana Party,Katru Nagababu
41,Kakinada City,Jaibhim Rao Bharat Party,Chakravarthi Ginjala
41,Kakinada City,Telugu Janata Party,Munagala Sai Gopi
41,Kakinada City,Pyramid Party of India,Leela Surya Kiran Yanamandra
41,Kakinada City,Navarang Congress Party,M. Venkateswara Rao (Bandababu)
41,Kakinada City,Jatiya Jana Sena Party,V. Venkateswara Rao (Kondababu)
41,Kakinada City,Independent,Kasimkota Chandrasekhar
41,Kakinada City,Independent,M. Prabhakara Rao
41,Kakinada City,Independent,B. Bairavaswamy
41,Kakinada City,Independent,T. Srinivasa Rao
41,Kakinada City,Independent,Satish Kumar
41,Kakinada City,None of the Above,NOTA
42,Ramachandrapuram,Indian National Congress,Kota Srinivasa Rao
42,Ramachandrapuram,Yuvajana Sramika Rythu Congress Party,Pilli Surya Prakash
42,Ramachandrapuram,Bahujan Samaj Party,Matha Rani Subrahmanyam
42,Ramachandrapuram,Telugu Desam,Vasamshetty Subash
42,Ramachandrapuram,Pyramid Party of India,Jutluka Venkatarrao
42,Ramachandrapuram,Bharatha Chaitanya Yuvajana Party,Barla Srinivas Yadav
42,Ramachandrapuram,Independent,Kate Subrahmanyam
42,Ramachandrapuram,Independent,Koyya Bangaru Babu
42,Ramachandrapuram,Independent,Chandra Sekhar Madiki
42,Ramachandrapuram,Independent,Jhai Sree Sureyndra Nadha Babuji Sreeguthula
42,Ramachandrapuram,Independent,Yarramsetti Ramaraaju
42,Ramachandrapuram,Independent,Lanka Praveen Kumar
42,Ramachandrapuram,Independent,Sujata Chekka
42,Ramachandrapuram,None of the Above,NOTA
43,Mummidivaram,Telugu Desam,Datla Subbaraju (Buchibabu)
43,Mummidivaram,Indian National Congress,Paleppu Dharma Rao
43,Mummidivaram,Yuvajana Sramika Rythu Congress Party,Ponnada Venkata Satish Kumar
43,Mummidivaram,Bahujan Samaj Party,Bhimarao Vakapalli
43,Mummidivaram,Republican Party of India,Dadala Rama Krishna
43,Mummidivaram,All India Forward Bloc,Pemmadi Swami
43,Mummidivaram,Jai Bharat National Party,Babuj Vanacharla
43,Mummidivaram,Telugu Nava Garjana Party,Mallidi Krishna Rao
43,Mummidivaram,Pyramid Party of India,R. Maha Lakshmi
43,Mummidivaram,Independent,Angadi Revathi
43,Mummidivaram,Independent,Tekumudi Venkata Rao
43,Mummidivaram,Independent,Donga Satya Ram
43,Mummidivaram,Independent,Ravi Kumar Cheekurmelli
43,Mummidivaram,Independent,Rayudu Sriram Chandra Murthy
43,Mummidivaram,Independent,Sattiraju Swamy
43,Mummidivaram,None of the Above,NOTA
44,Amalapuram,Telugu Desam,Aithabathula Anandarau
44,Amalapuram,Indian National Congress,Aithabathula Subhashini
44,Amalapuram,Bahujan Samaj Party,Mohan Babu Polamuri
44,Amalapuram,Yuvajana Sramika Rythu Congress Party,Viswarupu Pinpe
44,Amalapuram,Jatiya Jana Sena Party,Aitabathula Abhimanyudu
44,Amalapuram,Navarang Congress Party,Aitabathula Ananda Babu
44,Amalapuram,Liberation Congress Party,Iswarya Bojua
44,Amalapuram,Loktantrik Janta Dal,Janga Rajendrakumar
44,Amalapuram,Jai Bharat National Party,Devarapalli Raju
44,Amalapuram,Independent,Chutugulla Veera Venkata Satyanarayana
44,Amalapuram,Independent,Paramata Syamkumar
44,Amalapuram,Independent,Beera Ramarao
44,Amalapuram,Independent,Varasala Satyanarayana
44,Amalapuram,None of the Above,NOTA
45,Razole,Yuvajana Sramika Rythu Congress Party,Gollapalli Surya Rao
45,Razole,Bahujan Samaj Party,Pulapakura Lilni Asha Rani
45,Razole,Indian National Congress,Sarella Prasanna Kumar
45,Razole,Janasena Party,Deva Varaprasad
45,Razole,Pyramid Party of India,Yarlagadda Krishna
45,Razole,Jatiya Jana Sena Party,Venkata Prasad Manukonda M A
45,Razole,Independent,Kondeti Prabhakara Reddy
45,Razole,Independent,Pothumudi Alivelu Mangatayaru
45,Razole,Independent,Boddapalli Nageswara Rao
45,Razole,Independent,Mathi Jaya Prakash
45,Razole,None of the Above,NOTA
46,Gannavaram (SC),Bahujan Samaj Party,Kollabathula Satyanarayana (Satyam)
46,Gannavaram (SC),Indian National Congress,Chittibabu Kondeti
46,Gannavaram (SC),Yuvajana Sramika Rythu Congress Party,Vipparthi Venu Gopala Rao
46,Gannavaram (SC),Pyramid Party of India,Khandavalli Surendra
46,Gannavaram (SC),Janasena Party,Giddi Satyanarayana
46,Gannavaram (SC),Jai Bhim Rao Bharat Party,Dukkipati Vijaya Chandra
46,Gannavaram (SC),Liberation Congress Party,Nakka Sekhar
46,Gannavaram (SC),Jai Bharat National Party,Balakrishna Kota
46,Gannavaram (SC),Navarang Congress Party,Satyanarayana Giddi
46,Gannavaram (SC),Jatiya Jana Sena Party,Satyanarayana Giddi
46,Gannavaram (SC),Independent,Anandarao Kollabathula
46,Gannavaram (SC),Independent,Gannavaram Chandra Anand
46,Gannavaram (SC),Independent,Nagabathula Hemanth Kumar
46,Gannavaram (SC),Independent,Makey Davy Prasad
46,Gannavaram (SC),None of the Above,NOTA
47,Kothapeta,Indian National Congress,Eswara Rao Routhu
47,Kothapeta,Bahujan Samaj Party,Kandru Venkateswara Rao
47,Kothapeta,Yuvajana Sramika Rythu Congress Party,Chirla Jagoreddy
47,Kothapeta,Telugu Desam,Bandaru Satyananda Rao
47,Kothapeta,Jai Bharat National Party,Aruna Kiran Satyala
47,Kothapeta,Liberation Congress Party,Dadala Chandra Rao
47,Kothapeta,Navarang Congress Party,Bandaru Srinivasa Rao
47,Kothapeta,Independent,Bocha Srinivasarao
47,Kothapeta,Independent,Merla Sastrulu
47,Kothapeta,Independent,Rayudu Raju
47,Kothapeta,Independent,Saladi V.V.S. Murthy
47,Kothapeta,Independent,Ambarkuhana Sudhakar
47,Kothapeta,Independent,Sunakara Lakshmi Mani Kumari
47,Kothapeta,None of the Above,NOTA
48,Mandapeta,Indian National Congress,Kamana Prabhakara Rao
48,Mandapeta,Bahujan Samaj Party,Gurrapu Kottilya
48,Mandapeta,Telugu Desam,Jogeswara Rao V
48,Mandapeta,Yuvajana Sramika Rythu Congress Party,Thota Trimurthulu
48,Mandapeta,Liberation Congress Party,Nalla Chinna Rao
48,Mandapeta,Navataram Party,Nandikolla Raju
48,Mandapeta,Republican Party of India (A),Sadey David Raju
48,Mandapeta,Independent,Kona Surya Bhaskara Rao
48,Mandapeta,Independent,Mandapalli Ravi
48,Mandapeta,Independent,Rayudu Srinivasu
48,Mandapeta,Independent,Veera Venkata Satyanarayana Kona
48,Mandapeta,Independent,Srikrishna Kona
48,Mandapeta,Independent,Satyanarayana Marni
48,Mandapeta,None of the Above,NOTA
49,Rajanagaram,Yuvajana Sramika Rythu Congress Party,Jakkampudi Raja
49,Rajanagaram,Indian National Congress,Munduri Venkata Srinivas (Pedababu)
49,Rajanagaram,Bahujan Samaj Party,Ravi Kumar Ellamilli
49,Rajanagaram,Rashtriya Praja Congress (Secular),Kothapalli Bhaskara Ramam
49,Rajanagaram,Janasena Party,Bathula Balaramakrishna S/o Gangarao
49,Rajanagaram,Jatiya Jana Sena Party,Bathula Bala Rama Krishna S/o Ramarao Bathula
49,Rajanagaram,Navarang Congress Party,Battula Balaramakrishna S/o Srinivasa Rao Battula
49,Rajanagaram,India Praja Bandhu Party,Madda Venkata Rao (Joshua)
49,Rajanagaram,Jai Bharat National Party,P. Satyanarayana
49,Rajanagaram,Independent,Anand Kumar Barre
49,Rajanagaram,Independent,Kusume Gandhi
49,Rajanagaram,Independent,Bathula Venkatalakshmi
49,Rajanagaram,None of the Above,NOTA
50,Rajahmundry City,Telugu Desam,Adireddy Srinivas
50,Rajahmundry City,Indian National Congress,Bodda Venkat
50,Rajahmundry City,Yuvajana Sramika Rythu Congress Party,Margani Bharat Ram
50,Rajahmundry City,Bahujan Samaj Party,Surekha Paramata
50,Rajahmundry City,Jai Bharat National Party,B. Krishna Chaitanya
50,Rajahmundry City,Rashtriya Praja Congress (Secular),Meda Srinivasa Rao
50,Rajahmundry City,Pyramid Party of India,Yanamadala Mohan Babu
50,Rajahmundry City,Jana Vaahini Party,Vemana Ganesh
50,Rajahmundry City,Liberation Congress Party,Vanguri Vijaya Satya M.A, M.A, B.Ed
50,Rajahmundry City,Independent,Bethala Venkateswara Rao
50,Rajahmundry City,None of the Above,NOTA
51,Rajahmundry Rural,Bahujan Samaj Party,Kondapalli Suribabu
51,Rajahmundry Rural,Yuvajana Sramika Rythu Congress Party,Gopalakrishna Chelluboina (Venu)
51,Rajahmundry Rural,Telugu Desam,Gorantla Butchaiah Choudary
51,Rajahmundry Rural,Indian National Congress,Balepalli Muralidhar
51,Rajahmundry Rural,Bharatha Chaitanya Yuvajana Party,Duggirala Sridevi
51,Rajahmundry Rural,Jai Bharat National Party,Mannava Raghuram
51,Rajahmundry Rural,Independent,Chintalapati Pavan Kumar
51,Rajahmundry Rural,None of the Above,NOTA
52,Jaggampeta,Bahujan Samaj Party,Juthuka Nageswara Rao
52,Jaggampeta,Telugu Desam,Jyothula Nehru
52,Jaggampeta,Yuvajana Sramika Rythu Congress Party,Thota Narasimham
52,Jaggampeta,Indian National Congress,Marothi Siva Ganesh
52,Jaggampeta,Republican Party of India (Khobragade),Kothapalli Suribabu
52,Jaggampeta,Pyramid Party of India,Chitturi Naga Lakshmi
52,Jaggampeta,Jai Bhim Rao Bharat Party,Valluri Satyanandam
52,Jaggampeta,Liberation Congress Party,Sadhe Narendrababu
52,Jaggampeta,Independent,Kaldari Rani
52,Jaggampeta,Independent,Dommeti Kusalanaina
52,Jaggampeta,Independent,Patamsetti Suryachandra
52,Jaggampeta,Independent,Baireddy Solomon Raju
52,Jaggampeta,Independent,Bodeti Apparao
52,Jaggampeta,Independent,Dr. Sunkumalla Apparao
52,Jaggampeta,None of the Above,NOTA
53,Rampachodavaram,Bahujan Samaj Party,Kakru Kannam Reddy
53,Rampachodavaram,Yuvajana Sramika Rythu Congress Party,Nagulpalli Dhanalakshmi
53,Rampachodavaram,Telugu Desam,Miriyala Sirisha Devi
53,Rampachodavaram,Communist Party of India (Marxist),Lotha Ramarao
53,Rampachodavaram,Republican Party of India,Dumanthu Viswanadham
53,Rampachodavaram,Bharat Adivasi Party,Madditi Anji Reddy
53,Rampachodavaram,Pyramid Party of India,Manupudi Subba Rao
53,Rampachodavaram,Independent,Kunuja Srinu
53,Rampachodavaram,Independent,Pallala Latchi Reddy
53,Rampachodavaram,Independent,Paladugu Lakshmi Prasanna
53,Rampachodavaram,Independent,Paladugu Sri Venkateswara Rao
53,Rampachodavaram,Independent,Bangaru Venkatesh
53,Rampachodavaram,None of the Above,NOTA
54,Kovvur,Indian National Congress,Arigela Aruna Kumari
54,Kovvur,Yuvajana Sramika Rythu Congress Party,Talari Venkata Rao
54,Kovvur,Telugu Desam,Muppidi Venkateswara Rao
54,Kovvur,Liberation Congress Party,Bonta Syam Ravi Prakash
54,Kovvur,Navarang Congress Party,Muppidi Sekhar Babu
54,Kovvur,Rashtriya Praja Congress (Secular),Sekhar Babu Koyya
54,Kovvur,Independent,Uba Srikanth
54,Kovvur,Independent,Kamala Arugolanu
54,Kovvur,Independent,Kokkiripati Chinababu
54,Kovvur,Independent,Tatapudi Praveen
54,Kovvur,Independent,Bontha Kishore
54,Kovvur,None of the Above,NOTA
55,Nidadavole,Bahujan Samaj Party,Gummapu Chitrasenu
55,Nidadavole,Indian National Congress,Peddireddi Subbarao
55,Nidadavole,Yuvajana Sramika Rythu Congress Party,G. Srinivasa Naidu
55,Nidadavole,All India Forward Bloc,Kasturi Satya Prasad
55,Nidadavole,Jatiya Jana Sena Party,Kottiyada Durga
55,Nidadavole,Navarang Congress Party,Kancherla Durgesh
55,Nidadavole,Janasena Party,Kandula Durgesh
55,Nidadavole,Jai Bharat National Party,Pulamalla Veera Bhadram
55,Nidadavole,Pyramid Party of India,Mukkamala Annavara Prasad (Pyramid Prasad)
55,Nidadavole,Independent,Arigela Satya Vara Prasad
55,Nidadavole,Independent,Venkateswara Naidu Gidda
55,Nidadavole,Independent,Srinivasa Naidu Gidda
55,Nidadavole,None of the Above,NOTA
56,Achanta,Bahujan Samaj Party,Aluri Chinnarau
56,Achanta,Yuvajana Sramika Rythu Congress Party,Cherukuvada Sri Ranganadha Raju
56,Achanta,Indian National Congress,Nekkanti Venkata Satyanarayana (Satish)
56,Achanta,Telugu Desam,Satyanarayana Pithani
56,Achanta,Jaathia Chethi Vruthula Ikya Vedika Party,Allada Surya Bhaskara Rao
56,Achanta,Jaihbhim Rao Bharat Party,Kaki Syam Kumar
56,Achanta,Jai Bharat National Party,Velagala Sreenivasa Reddy
56,Achanta,Independent,Ramojupurna Chandra Sekhar
56,Achanta,Independent,Sikile Ratnaraju
56,Achanta,None of the Above,NOTA
57,Palacole,Indian National Congress,Arjunarao Kolukulluri
57,Palacole,Bahujan Samaj Party,Eliya Kollabathula
57,Palacole,Yuvajana Sramika Rythu Congress Party,Gudala Sri Hari Gopala Rao (Gudala Gopi)
57,Palacole,Telugu Desam,Dr. Nimmala Ramanaidu
57,Palacole,Pyramid Party of India,Poisetti Siva Krishna
57,Palacole,Jai Bharat National Party,Bezawada Tulasirao
57,Palacole,Independent,Anantha Naga Bhushanam Tamma
57,Palacole,Independent,Kotikalapudi Pradeep
57,Palacole,Independent,Jalla Vasu
57,Palacole,Independent,Taneti Chinnabbulu
